Step,VehicleID,Speed,Position,Route,Follower,Lane,Acceleration
25,1,6.543457089574076,"(30.132315742568945, 130.25083733123432)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('3', 42.343512055166485)",:gneJ6_0_0,-1.1314266509842126
25,2,7.430945825995877,"(12.551041044424892, 128.7971020303391)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('', -1.0)",e2_1,-1.6787441585911438
25,3,7.484086953103542,"(-16.379289244563928, 117.1026018718644)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('4', 16.619974379841224)",e2_0,-0.3979669064283371
25,4,8.354356911224311,"(-38.498210266035194, 110.7106919338295)","('e1', 'e2')","('', -1.0)",:gneJ5_0_0,-0.244190681627952
25,ev_0,13.21548311314411,"(-24.396665878088825, 121.66919716129323)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('', -1.0)",e2_2,0.9078124794177693
26,0,8.504745872109197,"(79.11005970946597, 109.9796318109493)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('1', 37.99538387805222)",e3_0,1.7507239676779136
26,1,8.274798036785796,"(37.08090181329225, 127.39484806491569)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('3', 42.15182147669182)",e3_0,1.73134094721172
26,2,8.475999762886204,"(20.69960018924379, 131.1254343957107)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('', -1.0)",e2_1,1.0450539368903264
26,3,8.46648861526046,"(-8.238666905300665, 119.4283215527777)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('4', 16.968796016885886)",e2_0,0.9824016621569172
26,4,8.117666978215796,"(-31.76568460079536, 112.70681479233022)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('', -1.0)",e2_0,-0.23668993300851504
26,ev_0,16.942683894255715,"(-8.10608813514445, 126.32330291528194)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('', -1.0)",e2_2,3.7272007811116055
27,0,8.90905777271837,"(87.34034955248343, 106.56932609406932)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('1', 38.24856313089839)",e3_0,0.4043119006091729
27,1,8.655878519872203,"(45.077301756129316, 124.08145704714347)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('3', 43.0951710287998)",e3_0,0.3810804830864072
27,2,7.064665219048038,"(27.491346766187476, 133.06607728624604)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('', -1.0)",e2_1,-1.4113345438381657
27,3,7.712528967764229,"(-0.8229850966663435, 121.54693072182712)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('4', 15.243275440419083)",e2_0,-0.7539596474962309
27,4,9.438049544231035,"(-22.69089569475996, 115.29941942123018)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('', -1.0)",e2_0,1.3203825660152386
27,ev_0,19.368437666911632,"(10.5168786593415, 131.6437561418163)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('', -1.0)",e2_2,2.4257537726559164
28,0,9.433160617365502,"(96.05481161988641, 102.95839860854323)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('1', 40.42079058981034)",e3_0,0.5241028446471319
28,1,7.260933158453554,"(51.78503516064792, 121.30203833734629)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('3', 43.765295381360175)",e3_0,-1.3949453614186496
28,2,7.190257156966254,"(34.327682217729965, 132.11191071382714)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('4', 44.337066694937775)",e3_1,0.125591937918216
28,3,6.590808805893175,"(5.514150383839635, 123.35740664042386)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('', -1.0)",e2_0,-1.1217201618710533
28,4,8.490478953510706,"(-15.430689374094761, 120.80172917795366)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('', -1.0)",e2_1,-0.9475705907203285
28,ev_0,17.335733099491335,"(27.185377555431174, 136.4058313638719)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('', -1.0)",e2_2,-2.0327045674202964
29,0,8.725726716569625,"(104.11573812866317, 99.61827034081846)","('e1', 'e2', 'e3', 'e4', 'e5', 'e6', 'e7', 'e8', 'e1')","('1', 41.64704746804199)",e3_0,-0.707433900795877
