Step,VehicleID,Speed,Position,Route,Follower,Lane,Acceleration
51,car2.0,9.539276525143801,"(-16.78851113709893, 2.61791253891015)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E4_1,-2.200000000000001
52,car1.0,5.00428437776696,"(-74.69317993428685, 40.3220216672921)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 60.265035127989464)",E6_1,0.539816232686305
52,car2.0,8.117583554205776,"(-24.902971342495853, 2.4148948663347842)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E4_1,-1.4216929709380253
53,car1.0,7.442528418822402,"(-75.11261966184567, 47.7519163593808)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 60.05581920389958)",E6_1,2.438244041055442
53,car2.0,7.651744342912281,"(-32.55177157446435, 2.2235276549883825)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E4_1,-0.4658392112934955
54,car1.0,10.140226090301947,"(-75.68409395517114, 57.87492936855849)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 64.74430095128926)",E6_1,2.6976976714795455
54,car2.0,5.4517443429122805,"(-37.97293415192828, 2.395259486646744)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",:J5_0_1,-2.2
55,car1.0,12.911066777079181,"(-76.41172494651221, 70.76407954951294)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 71.70389724609791)",E6_1,2.770840686777234
55,car2.0,5.951470482270524,"(-42.50238976801625, 6.174358157627632)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E5_1,0.49972613935824395
56,car1.0,10.711066777079182,"(-77.01537019689249, 81.45696424073728)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 75.47821538734738)",E6_1,-2.1999999999999993
56,car2.0,6.9367486358297175,"(-47.45954040708824, 11.026226805860816)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E5_1,0.985278153559193
57,car1.0,8.511066777079183,"(-77.495029706312, 89.95358344223155)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 75.46556532086498)",E6_1,-2.1999999999999993
57,car2.0,8.52371684356156,"(-53.55077285856885, 16.98809117356783)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E5_1,1.586968207731843
58,car1.0,6.311066777079183,"(-77.85070347477071, 96.25393715399571)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('car2.0', 72.4206354031376)",E6_1,-2.2
58,car2.0,9.355996694806581,"(-60.23677049660613, 23.53208886176944)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E5_1,0.8322798512450209
59,car1.0,5.228774536849745,"(-77.05945882476394, 101.27936760539892)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",:J7_0_1,-1.082292240229438
59,car2.0,7.155996694806581,"(-65.35060054165496, 28.537309294733767)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E5_1,-2.2
60,car1.0,3.3706678389402107,"(-74.63930771146772, 103.6204852403768)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7', 'E0', 'E1')","('car2.0', 65.61825834467967)",E7_1,-1.858106697909534
60,car2.0,8.245822739441298,"(-71.243243854599, 34.30480224117496)","('E7', 'E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7')","('', -1.0)",E5_1,1.0898260446347168
61,car1.0,4.042856270081177,"(-71.6566437364395, 106.35013114206147)","('E0', 'E1', 'E2', 'E3', 'E4', 'E5', 'E6', 'E7', 'E0', 'E1')","('car2.0', 63.615291875319556)",E7_1,0.6721884311409667
